scheme_or_product_name,benefit_name,scheme_type,provider_category,provider_name,government_level,state_or_ut,financial_instrument_type,benefit_category_tags,business_stage_tags,sector_tags,msme_segment_tags,benefit_summary,benefit_calculation_logic,maximum_benefit_amount,minimum_benefit_amount,loan_amount_range,interest_rate_or_subvention,collateral_requirement,guarantee_coverage,repayment_tenure,moratorium,margin_contribution_required,application_channel,application_url,official_source_url,policy_document_url,secondary_source_url,source_type,source_confidence,active_status,active_status_evidence,priority_tier,accessibility_status,last_verified_date,notes,verification_needed,duplicate_or_related_scheme_notes
"MSME Innovative Scheme (Incubation, Design and IPR)",Incubation support for innovative ideas,government_scheme,central_government,Ministry of MSME (via recognized Host Institutes),central,all_india,grant,equity_seed_capital|technology_upgradation,idea_or_pre_startup|startup_early_stage,sector_agnostic,all_msme|startup_dpiit,"Financial assistance routed through recognized Host Institutes to develop and nurture innovative ideas of MSMEs and innovators, covering prototype development and commercialization support.","Up to 15 lakh per approved innovative idea to the Host Institute for developing/nurturing the idea. Separately, up to 1 crore to a Host Institute for plant and machinery to strengthen incubation facilities.",1500000,unknown,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,through_department_approval,https://innovative.msme.gov.in,https://innovative.msme.gov.in,https://dcmsme.gov.in/CLCS_TUS_Scheme/MSME%20Innovative%20Scheme%20Guidelines.pdf,unknown,official_government,high_official_current,confirmed_active,Live innovative.msme.gov.in portal; MSME Idea Hackathons run as the selection route,tier_2_segment_specific,through_department_approval,2026-07-03,"Individuals/students must apply through a recognized Host Institute. The 15 lakh per idea is a grant, not a loan. Up to 1 crore infra support is to the Host Institute, not the MSME.",no,"Amalgamation of erstwhile Incubation, Design and IPR schemes; see Design, IPR and equity rows"
"MSME Innovative Scheme (Incubation, Design and IPR)",Design project financial assistance,government_scheme,central_government,Ministry of MSME,central,all_india,grant,technology_upgradation,existing_enterprise|modernization_upgradation,sector_agnostic,micro|small|medium,"Financial assistance for engaging professional design expertise for new product development and improvement of existing products, plus support for student design projects.","Up to 40 lakh per design project for individual MSMEs (75pct for micro, 60pct for small/medium). Student design projects up to 2.5 lakh. Disbursed in phases (40pct concept, 30pct detailed design, 30pct post-prototype).",4000000,unknown,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,25pct_to_40pct,through_department_approval,https://innovative.msme.gov.in,https://innovative.msme.gov.in,https://dcmsme.gov.in/CLCS_TUS_Scheme/MSME%20Innovative%20Scheme%20Guidelines.pdf,https://msmecouncil.org/innovation-hub/msme-innovative-scheme/,official_government,high_official_current,confirmed_active,Design component described on current innovative.msme.gov.in and scheme guidelines,tier_2_segment_specific,through_department_approval,2026-07-03,"Beneficiary contribution is the balance of the project cost (25pct micro, 40pct small/medium). Student projects capped at 2.5 lakh.",no,"Part of MSME Innovative Scheme; see Incubation, IPR and equity rows"
"MSME Innovative Scheme (Incubation, Design and IPR)","Reimbursement for IPR registration (patent, trademark, GI, design)",government_scheme,central_government,Ministry of MSME,central,all_india,reimbursement,ip_patent_support,existing_enterprise|startup_early_stage,sector_agnostic,micro|small|medium|startup_dpiit,"One-time reimbursement of expenditure incurred by MSMEs on registering patents, trademarks, geographical indications and designs, to strengthen IP protection and commercialization.","Reimbursement caps: foreign patent up to 5 lakh, domestic patent up to 1 lakh, GI registration up to 2 lakh, design registration up to 15000, trademark up to 10000. One-time, not claimable if already claimed under another government scheme.",500000,10000,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,open_online,https://innovative.msme.gov.in/Home/IprIndex,https://innovative.msme.gov.in/Home/AboutIpr,https://dcmsme.gov.in/CLCS_TUS_Scheme/MSME%20Innovative%20Scheme%20Guidelines.pdf,unknown,official_government,high_official_current,confirmed_active,Live IPR reimbursement portal innovative.msme.gov.in/Home/IprIndex,tier_2_segment_specific,open_online,2026-07-03,"Valid Udyam registration required; claim after grant/registration of the IP, typically within one financial year.",no,"Part of MSME Innovative Scheme; see Incubation, Design and equity rows"
"MSME Innovative Scheme (Incubation, Design and IPR)",Equity support for commercialization of ideas/designs/patents,government_scheme,central_government,Ministry of MSME (corpus managed by SIDBI),central,all_india,equity_support,equity_seed_capital,startup_early_stage|expansion,sector_agnostic,micro|small|medium|startup_dpiit,"Equity support to help MSMEs commercialize proven ideas, designs and patents and scale up to raise subsequent funding, through a corpus managed by SIDBI.","Up to 1 crore equity support per case, with GoI contribution up to 80pct (80:20 ratio), managed by SIDBI as fund manager.",10000000,unknown,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,20pct,through_department_approval,https://innovative.msme.gov.in,https://innovative.msme.gov.in,https://dcmsme.gov.in/CLCS_TUS_Scheme/MSME%20Innovative%20Scheme%20Guidelines.pdf,https://www.klubzero.com/post/step-by-step-application-process-for-the-msme-innovative-scheme,official_government,low_needs_verification,unclear_needs_verification,Equity corpus described in guidelines; operational launch/availability needs confirmation,tier_3_limited_access_or_low_discoverability,through_department_approval,2026-07-03,Some sources indicate the equity corpus was yet to be operationalized. Confirm current availability with SIDBI/Ministry before treating as open.,yes,"Part of MSME Innovative Scheme; see Incubation, Design and IPR rows"
Micro and Small Enterprises Cluster Development Programme (MSE-CDP),Grant for Common Facility Centre (CFC),government_scheme,central_government,Ministry of MSME (Office of DC-MSME),central,all_india,grant,capital_investment_subsidy|technology_upgradation|marketing_procurement,existing_enterprise,manufacturing|sector_agnostic,micro|small,"One-time capital grant to a Special Purpose Vehicle of clustered micro and small enterprises for setting up a Common Facility Centre (shared plant, machinery, testing, plug-and-play facilities).","GoI grant is a percentage of project cost with a ceiling; assistance is 90pct of project cost for CFC projects in NER/hilly states, island territories, aspirational/LWE districts and for special-category groups, subject to a GoI-share ceiling (commonly cited at 5 crore for CFC). Land cost counts up to 25pct of project cost.",50000000,unknown,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,unknown,through_department_approval,https://cluster.dcmsme.gov.in,https://cluster.dcmsme.gov.in,https://dcmsme.gov.in/schemes/New%20MSE-CDP.pdf,unknown,official_government,high_official_current,confirmed_active,Live cluster.dcmsme.gov.in portal and current MSE-CDP guidelines PDF on dcmsme.gov.in,tier_2_segment_specific,through_department_approval,2026-07-03,Delivered at cluster/SPV level; individual MSEs benefit collectively via the shared facility. Infrastructure Development component supports industrial estates/flatted factory complexes (larger ceilings). Thematic interventions: 50pct grant up to 2 lakh per activity.,yes,Cluster-level scheme; ZED/Lean give extra subsidy to MSE-CDP cluster members
Procurement and Marketing Support (PMS) Scheme,"Financial assistance for market access (trade fairs, packaging, barcode)",government_scheme,central_government,Ministry of MSME (Office of DC-MSME),central,all_india,reimbursement,marketing_procurement,existing_enterprise,manufacturing|services,micro|small|women_led,"Financial support to MSEs for participating in domestic and international trade fairs/exhibitions and for adopting bar coding and modern packaging, to improve market access and marketability.","Reimbursement-based support for eligible market-access activities (e.g., stall/space with financial support calculated for up to 9 sqm, participation/travel, one-time barcode registration fee). Rates vary by activity and category; confirm current caps from guidelines.",unknown,unknown,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,unknown,open_online,https://www.dcmsme.gov.in,https://dcmsme.gov.in/MarketingAssistance.htm,unknown,unknown,official_government,medium_official_stale,likely_active_but_not_recently_updated,Scheme listed on dcmsme.gov.in marketing assistance page; revised PMS guidelines referenced,tier_2_segment_specific,open_online,2026-07-03,A component under Development of MSMEs (Entrepreneurship and Skill Development). Confirm current activity-wise reimbursement caps and open windows from the latest guidelines.,yes,Related to NSIC marketing/procurement support (to be captured in the sectoral-institutions batch)
Scheme of Fund for Regeneration of Traditional Industries (SFURTI),Cluster development financial assistance for traditional industries,government_scheme,central_government,"Ministry of MSME (Nodal Agencies: KVIC, Coir Board, DC-MSME)",central,all_india,grant,capital_investment_subsidy|marketing_procurement|skilling_capacity_financial,existing_enterprise|all_stages,khadi_village_industry|coir|handicrafts|handloom,artisan|rural_enterprise|micro,"Cluster-based financial assistance to organize artisans and traditional-industry units into clusters, funding Common Facility Centres, raw material banks, tools/technology upgradation, skilling and market promotion via a Special Purpose Vehicle.",Up to 2.5 crore for regular clusters (up to 500 artisans) and up to 5 crore for major clusters (more than 500 artisans). GoI funds 90pct of hard interventions for special-category/NER clusters and 75pct for others; 20pct of hard-intervention cost goes to a working-capital corpus.,50000000,unknown,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,unknown,through_department_approval,https://sfurti.msme.gov.in,https://sfurti.msme.gov.in,https://sfurti.msme.gov.in/WriteReadData/Circular/SFURTI_NEW.pdf,https://cleartax.in/s/scheme-fund-regeneration-traditional-industries-sfurti,official_government,high_official_current,confirmed_active,Live sfurti.msme.gov.in project management portal; revised guidelines available,tier_2_segment_specific,through_department_approval,2026-07-03,"Delivered via Implementing Agencies/SPVs (NGOs, cooperatives, producer companies); individual artisans/micro-enterprises benefit collectively. Individual PMEGP beneficiaries are not directly eligible. Min 100 artisans (50 in hilly/NER).",no,Traditional-industry cluster scheme; nodal overlap with KVIC and Coir Board schemes to be captured in the sectoral-institutions batch
Pradhan Mantri Mudra Yojana (PMMY),"Collateral-free micro loan (Shishu, Kishore, Tarun)",government_backed_financial_scheme,public_institution,MUDRA (refinance) via Member Lending Institutions; Ministry of Finance,central_backed,all_india,collateral_free_loan,credit_access|working_capital|collateral_substitution,idea_or_pre_startup|startup_early_stage|existing_enterprise,manufacturing|services|trading|agriculture_allied,micro|women_led|all_msme,"Collateral-free loans for income-generating non-corporate, non-farm micro enterprises, delivered by banks, RRBs, SFBs, NBFCs and MFIs. Covers term loan and working capital across three graded categories.",Shishu: up to 50000. Kishore: above 50000 up to 5 lakh. Tarun: above 5 lakh up to 10 lakh. Loans are collateral-free and guaranteed under the Credit Guarantee Fund for Micro Units (CGFMU) managed by NCGTC.,1000000,unknown,0-1000000,roi_varies_by_lender,collateral_free,via_cgfmu,unknown,unknown,unknown,through_bank_or_financial_institution,https://www.udyamimitra.in,https://www.mudra.org.in,https://www.mudra.org.in/offerings,unknown,official_institution,high_official_current,confirmed_active,mudra.org.in live; online applications via udyamimitra.in and jansamarth.in,tier_1_high_priority,through_bank_or_financial_institution,2026-07-03,MUDRA is a refinance institution and does not lend directly. Interest varies by lender per RBI norms. Working capital can be operated via a MUDRA Card overdraft.,no,"Tarun Plus (10-20 lakh) is a separate row. Guarantee is via CGFMU, distinct from CGTMSE."
Pradhan Mantri Mudra Yojana (PMMY),Tarun Plus collateral-free loan (10 lakh to 20 lakh),government_backed_financial_scheme,public_institution,MUDRA (refinance) via Member Lending Institutions; Ministry of Finance,central_backed,all_india,collateral_free_loan,credit_access|working_capital|collateral_substitution,existing_enterprise|expansion,manufacturing|services|trading|agriculture_allied,micro|women_led|all_msme,"Higher-ticket collateral-free MUDRA loan introduced in October 2024 for micro entrepreneurs who have already availed and fully repaid a Tarun-category loan, raising the PMMY ceiling to 20 lakh.",Loans above 10 lakh and up to 20 lakh. Available only to borrowers who previously availed and successfully repaid a Tarun loan. Guaranteed under CGFMU.,2000000,1000001,1000001-2000000,roi_varies_by_lender,collateral_free,via_cgfmu,unknown,unknown,unknown,through_bank_or_financial_institution,https://www.udyamimitra.in,https://www.mudra.org.in,https://www.pib.gov.in/PressReleaseIframePage.aspx?PRID=2069170,unknown,official_institution,high_official_current,confirmed_active,Limit enhancement notified 24 October 2024 (Union Budget 2024-25); confirmed on mudra.org.in and PIB,tier_2_segment_specific,through_bank_or_financial_institution,2026-07-03,Repeat-borrower category; not open to all applicants. CGFMU guarantee extended to cover the enhanced limit.,no,Extension of PMMY; see the Shishu/Kishore/Tarun row
Stand-Up India Scheme,Composite bank loan for SC/ST and women greenfield enterprises,government_backed_financial_scheme,central_government,Ministry of Finance (Department of Financial Services); SIDBI refinance,central_backed,all_india,term_loan,credit_access|working_capital|collateral_substitution,idea_or_pre_startup|startup_early_stage,manufacturing|services|trading|agriculture_allied,sc_st_entrepreneur|women_led,Facilitates a composite bank loan (term loan plus working capital) to at least one SC/ST borrower and one woman borrower per bank branch to set up a first-time (greenfield) enterprise.,"Composite loan between 10 lakh and 1 crore, covering up to 85pct of project cost (borrower brings minimum 10pct own contribution; 15pct margin can converge with other central/state schemes). Interest capped at the bank's lowest applicable rate not exceeding MCLR + 3pct + tenor premium.",10000000,1000000,1000000-10000000,roi_up_to_mclr_plus_3pct,partial_collateral,via_cgfsi,up_to_84_months,up_to_18_months,up_to_15pct,through_bank_or_financial_institution,https://www.standupmitra.in,https://www.standupmitra.in/Home/SUISchemes,https://www.standupmitra.in,https://www.ibef.org/government-schemes/stand-up-india,official_institution,high_official_current,confirmed_active,standupmitra.in live scheme features page; scheme extended and operational,tier_1_high_priority,through_bank_or_financial_institution,2026-07-03,Greenfield (first-time venture) only. Non-individual entities need 51pct SC/ST or woman shareholding. Backed by Credit Guarantee Fund for Stand-Up India (CGFSI) or bank collateral at bank discretion. Rupay debit card issued.,no,A new Budget 2025-26 scheme for first-time SC/ST women entrepreneurs (term loans up to 2 crore) is separate and noted as uncertain/emerging.
Credit Guarantee Scheme for Startups (CGSS),Collateral-free credit guarantee for DPIIT-recognised startups,credit_guarantee_scheme,public_institution,"NCGTC (DPIIT, Ministry of Commerce and Industry)",central_backed,all_india,credit_guarantee,credit_access|collateral_substitution|equity_seed_capital,startup_early_stage|expansion,sector_agnostic,startup_dpiit,"Provides collateral-free credit guarantee cover to banks, NBFCs and SEBI-registered venture debt funds lending to DPIIT-recognised startups, across venture debt, working capital, term loans and other debt instruments.","Guarantee ceiling 20 crore per borrower (revised 2025). Extent of cover: 85pct of amount in default for loans up to 10 crore, 75pct for loans above 10 crore. Annual Guarantee Fee 1pct p.a. for 27 Champion Sectors, otherwise 2pct (1.5pct for women/NER).",unknown,unknown,0-200000000,not_applicable,collateral_free,up_to_85pct_below_10cr_75pct_above,unknown,unknown,not_applicable,through_bank_or_financial_institution,https://www.ncgtc.in/en/product-details/CGSS/Credit-Guarantee-Scheme-for-Start-ups-(CGSS),https://www.startupindia.gov.in/content/sih/en/credit-guarantee-scheme-for-startups.html,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2127843,unknown,official_institution,high_official_current,confirmed_active,DPIIT notification dated 08.05.2025 raising ceiling to 20 crore; live NCGTC and Startup India pages,tier_1_high_priority,through_bank_or_financial_institution,2026-07-03,"Startup must be DPIIT-recognised, not in default/NPA. Guarantee issued via NCGTC to Member Institutions; borrowers apply through the lender. Overlaps DPIIT/Startup India scope but placed here as a credit guarantee.",no,Startup counterpart to CGTMSE (which covers MSEs up to 10 crore). See CGTMSE row in the Ministry of MSME batch.
